# theta E H
1.174130587705276341e+00 1.151960019081790687e+00 3.580499708012066851e+00
1.205863846832445851e+00 1.032069215180631438e+00 3.281535293445951851e+00
1.237597105959615584e+00 9.551967493983801738e-01 3.004300642742014471e+00
1.269330365086785095e+00 9.119928587610823811e-01 2.750445226617501238e+00
1.301063624213954828e+00 8.917449890082651542e-01 2.520747744139127278e+00
1.332796883341124339e+00 8.846680143355287740e-01 2.315307809985992726e+00
1.364530142468294072e+00 8.832404947138680074e-01 2.133711760877369912e+00
1.396263401595463582e+00 8.823936250423375371e-01 1.975172685962539809e+00
1.427996660722633315e+00 8.790666520257406358e-01 1.838645589357088772e+00
1.459729919849802826e+00 8.716179182185312957e-01 1.722919386900535477e+00
1.491463178976972559e+00 8.593228373872074943e-01 1.626687880086496785e+00
1.523196438104142292e+00 8.420143071020544934e-01 1.548601935392671658e+00
1.554929697231311803e+00 8.198489433906042123e-01 1.487305408793105688e+00
1.586662956358481535e+00 7.931685353766797508e-01 1.441457192504073115e+00
1.618396215485651046e+00 7.624306125210786877e-01 1.409741602598081789e+00
1.650129474612820779e+00 7.281902695332449493e-01 1.390869124557420511e+00
1.681862733739990290e+00 6.911229212088632057e-01 1.383569405768942273e+00
1.713595992867160023e+00 6.520833231970630806e-01 1.386578265100304019e+00
1.745329251994329534e+00 6.121992743812481041e-01 1.398620337029750305e+00
1.777062511121499266e+00 5.729962886495869601e-01 1.418388900434921718e+00
1.808795770248668777e+00 5.365351381320242474e-01 1.444524412222151888e+00
1.840529029375838510e+00 5.055035123303988076e-01 1.475593389510790221e+00
1.872262288503008021e+00 4.831316481146568087e-01 1.510069271331755392e+00
1.903995547630177754e+00 4.727462132592326061e-01 1.546316971048621758e+00
1.935728806757347265e+00 4.768993090402585677e-01 1.582582930505935792e+00
1.967462065884516997e+00 4.964185636668898560e-01 1.616992523389089165e+00
1.999195325011686508e+00 5.300345497429732600e-01 1.647556769664644039e+00
2.030928584138856241e+00 5.748351307345230810e-01 1.672190136421506601e+00
2.062661843266025752e+00 6.270917084831693078e-01 1.688740901507027603e+00
2.094395102393195707e+00 6.829196789989231409e-01 1.695035280376870679e+00
2.126128361520365218e+00 7.386171110477184332e-01 1.688935952646491989e+00
2.157861620647534728e+00 7.907899197700396510e-01 1.668414960002557512e+00
2.189594879774704239e+00 8.364004372794442421e-01 1.631639786685925797e+00
2.221328138901874194e+00 8.728195262398810161e-01 1.577070479524930180e+00
2.253061398029043705e+00 8.979135065640277968e-01 1.503564693729211088e+00
2.284794657156213216e+00 9.101723983789355987e-01 1.410486672003117059e+00
2.316527916283382726e+00 9.088758028887174989e-01 1.297816157290625050e+00
2.348261175410552681e+00 8.942867107038616759e-01 1.166254197299071649e+00
2.379994434537722192e+00 8.678560430753865518e-01 1.017328787474758744e+00
2.411727693664891703e+00 8.324036259303708718e-01 8.535231475390048228e-01
2.443460952792061214e+00 7.921976659526528408e-01 6.785158506202448869e-01
2.475194211919231169e+00 7.527714418059640034e-01 4.979037163933696108e-01
2.506927471046400679e+00 7.202134854506769823e-01 3.223648620640968687e-01
2.538660730173570190e+00 6.997126626263924232e-01 1.869651954010186357e-01
2.570393989300740145e+00 6.936319409575675277e-01 2.000754128124536679e-01
2.602127248427909656e+00 7.001610301590364127e-01 3.327013551484851450e-01
2.633860507555079167e+00 7.135947836709832792e-01 4.808587714156054016e-01
2.665593766682248678e+00 7.260482461049909686e-01 6.174314446211613960e-01
2.697327025809418632e+00 7.294371731329715169e-01 7.334627371752321379e-01
2.729060284936588143e+00 7.168819726294184402e-01 8.244018947156159793e-01
2.760793544063757654e+00 6.834537054884017859e-01 8.878621150955552377e-01
2.792526803190927165e+00 6.264934546731228959e-01 9.231641619649100239e-01
2.824260062318097120e+00 5.457012099170632791e-01 9.312162021134187118e-01
2.855993321445266631e+00 4.430978623852100950e-01 9.144242903105234133e-01
2.887726580572436141e+00 3.229562401244675529e-01 8.765474714734448058e-01
2.919459839699605652e+00 1.921818355152590252e-01 8.224744532979199052e-01
2.951193098826775607e+00 6.805070136272295400e-02 7.579211288137153169e-01
2.982926357953945118e+00 1.009364112156568849e-01 6.890611225443942223e-01
3.014659617081114629e+00 2.197441897421380241e-01 6.221099721924406856e-01
3.046392876208284584e+00 3.250931009589733689e-01 5.628902439725126383e-01
3.078126135335454094e+00 4.063267470484340782e-01 5.164128039606644682e-01
3.109859394462623605e+00 4.576562280077203226e-01 4.865164823152201556e-01
3.141592653589793116e+00 4.756084405898199918e-01 4.756084405898199918e-01
